epoch,lr,target_pos_x,target_pos_y,total,pulse,silence,contrast,efficiency,pre_pulse,frequency,frequency_loss,target_peak,sidelobe_peak,total_energy,trajectory_length,trajectory_penalty,jerk,jerk_penalty,trajectory_region,trajectory_region_penalty,target_band_power,off_band_power
56,0.001,0.05,0.05,0.3860362768173218,-1.3924181461334229,0.00011183368042111397,0.14460380375385284,0.008905328810214996,0.001827574335038662,0.21756944060325623,0.004351388663053513,0.0013924181694164872,0.0021422470454126596,1.7354955161863472e-07,0.10426142811775208,0.010426143184304237,2.205525646559181e-07,2.2055255399777707e-09,0.027900204062461853,1.395010232925415,0.13687056303024292,0.0005955770611763
57,0.001,0.05,0.05,0.37248694896698,-1.3939746618270874,0.00011214899132028222,0.13833937048912048,0.008907460607588291,0.0018284934340044856,0.2115308791399002,0.004230617545545101,0.0013939746422693133,0.0020803811494261026,1.7397741203240003e-07,0.10629664361476898,0.010629664175212383,2.280147128885801e-07,2.2801471821765062e-09,0.02790226973593235,1.395113468170166,0.13773220777511597,0.0005826923879794776
58,0.001,0.05,0.05,0.3819371461868286,-1.3932229280471802,0.0001143102563219145,0.15389738976955414,0.009069932624697685,0.0018209688132628798,0.20474116504192352,0.0040948232635855675,0.0013932229485362768,0.002235585357993841,1.7696073939532653e-07,0.10709643363952637,0.010709643363952637,2.2914106523330702e-07,2.2914106168059334e-09,0.027896134182810783,1.3948067426681519,0.13712869584560394,0.0005615178379230201
59,0.001,0.05,0.05,0.39144957065582275,-1.3908764123916626,0.00011519187683006749,0.16292515397071838,0.009158090688288212,0.0018013447988778353,0.2028057873249054,0.004056115634739399,0.0013908763648942113,0.002324689645320177,1.7808245900141628e-07,0.10772103071212769,0.010772103443741798,2.322106666952095e-07,2.3221065070799796e-09,0.027894966304302216,1.394748330116272,0.13361482322216034,0.0005419572116807103
60,0.001,0.05,0.05,0.3858760595321655,-1.3971247673034668,0.0001144787238445133,0.1594138890504837,0.009023538790643215,0.0017943198326975107,0.20692212879657745,0.004138442687690258,0.0013971247244626284,0.0022927012760192156,1.7703797539070365e-07,0.10842734575271606,0.010842734947800636,2.3959256623129477e-07,2.395925680076516e-09,0.027897793799638748,1.3948897123336792,0.13124001026153564,0.0005431293393485248
61,0.001,0.05,0.05,0.375077486038208,-1.4087198972702026,0.00011342951620463282,0.15200629830360413,0.008806031197309494,0.0018052407540380955,0.21513569355010986,0.004302714020013809,0.0014087199233472347,0.0022244229912757874,1.7563556298227923e-07,0.10857225954532623,0.010857226327061653,2.4885233074201096e-07,2.4885231653115625e-09,0.02790147066116333,1.3950735330581665,0.13175088167190552,0.000566886446904391
62,0.001,0.05,0.05,0.3665508031845093,-1.4166486263275146,0.00011302474013064057,0.14813265204429626,0.008684749715030193,0.0018136878497898579,0.21847966313362122,0.004369593225419521,0.0014166486216709018,0.0021896508987993,1.7516211414658756e-07,0.1080603152513504,0.01080603152513504,2.57092835909134e-07,2.57092835909134e-09,0.027903392910957336,1.3951696157455444,0.13306166231632233,0.0005814253818243742
63,0.001,0.05,0.05,0.36093270778656006,-1.4141173362731934,0.00011220182932447642,0.14037609100341797,0.008662944659590721,0.0018111557001248002,0.21836352348327637,0.00436727050691843,0.001414117286913097,0.0021108195651322603,1.7410157227004674e-07,0.10740862786769867,0.010740863159298897,2.6390887342131464e-07,2.639088725331362e-09,0.027899665758013725,1.3949832916259766,0.1342059224843979,0.0005861136596649885
64,0.001,0.05,0.05,0.3639463186264038,-1.4053220748901367,0.00011189299402758479,0.1431666761636734,0.008750912733376026,0.001800512196496129,0.21026669442653656,0.00420533400028944,0.001405322109349072,0.0021343277767300606,1.7369950455758953e-07,0.10711829364299774,0.01071182917803526,2.669549985512276e-07,2.6695499144580026e-09,0.027889195829629898,1.394459843635559,0.13503894209861755,0.0005678838933818042
65,0.001,0.05,0.05,0.36641156673431396,-1.396628737449646,0.00011315532174194232,0.14805816113948822,0.008947017602622509,0.0017894611228257418,0.19973677396774292,0.003994735423475504,0.0013966287951916456,0.0021788959857076406,1.754126941477807e-07,0.10663512349128723,0.010663512162864208,2.657674826878065e-07,2.657674746942007e-09,0.027874644845724106,1.3937321901321411,0.135089710354805,0.0005396477063186467
